"nome","resumo","coordenador"
"TEORIA E TÉCNICAS DA IMAGEM 1 ESDI 02-13917","Em breve este conteúdo estará disponível.","Barbara Jane Necyk "
"PROJETO GRADUAÇÃO E DIVULGAÇÃO CIENTÍFICA EM DESIGN","Em breve este conteúdo estará disponível.","Barbara Jane Necyk "
"ESDI02-13905 - MEIOS E MÉTODOS NA INTERAÇÃO 2","Em breve este conteúdo estará disponível.","Barbara Pires e Castro "
"PRÁTICAS EXPERIMENTAIS NO LABORATÓRIO DE INFORMÁTICA DA ESDI","Em breve este conteúdo estará disponível.","Barbara Pires e Castro "
"COLABORAÇÃO ESDI - CAP/UERJ: ATRAVESSAMENTOS ENTRE DESIGN E PRÁTICAS EDUCATIVAS NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Bianca Maria Rego Martins "
"HISTÓRIA DO DESIGN VIA REDES DIGITAIS DE CONHECIMENTO ABERTO","Em breve este conteúdo estará disponível.","Carlos Guilherme Mace Altmayer "
"HISTÓRIA DO DESIGN CONTEMPORÂNEO ATRAVÉS DO AUDIOVISUAL E NOVOS REFERENCIAIS","Em breve este conteúdo estará disponível.","Gianna Gobbo Larocca "
"MANUTENÇÃO E APRIMORAMENTO DO WEBSITE DA ESDI","Em breve este conteúdo estará disponível.","Ligia Maria Sampaio De Medeiros "
"PRÁTICAS EXPERIMENTAIS JUNTO AOS LABORATÓRIOS DE INFORMÁTICA MODELAGEM E PROTOTIPAGEM DA ESDI","Em breve este conteúdo estará disponível.","Luiz Antonio De Saboya "
"OFICINA DE MATERIAIS MAIS PRODUTIVA E SEGURA","Em breve este conteúdo estará disponível.","Pedro Zöhrer Rodrigues Da Costa "
"DESENVOLVIMENTO DE SISTEMA DE MONITORAMENTO E CONTROLE NA PRODUÇÃO DE CELULOSE BACTERIANA","Em breve este conteúdo estará disponível.","Pedro Zöhrer Rodrigues Da Costa "
"IMPRESSÃO 3D JARDIM SENSORIAL E OUTRAS TECNOLOGIAS ASSISTIVAS","Em breve este conteúdo estará disponível.","Pedro Zöhrer Rodrigues Da Costa "
"MODELOS E PROTÓTIPOS PARA O PROJETO CRIOSFERA 1-HABITAT","Em breve este conteúdo estará disponível.","Pedro Zöhrer Rodrigues Da Costa "
